date,foreTotalRadiation,foreWindSpeed,foreWindDirection,foreHumidity,foreTemp,forePressure,OT
2022-09-13 10:00:00,292.2,0.91,94.1,94.2,19.9,1010.9,46.452
2022-09-13 10:15:00,362.6,0.9,95.8,93.2,20.0,1010.7,58.378
2022-09-13 10:30:00,432.9,0.88,97.5,92.2,20.1,1010.6,66.934
2022-09-13 10:45:00,503.2,0.87,99.1,91.2,20.2,1010.4,65.439
2022-09-13 11:00:00,573.6,0.85,100.8,90.3,20.3,1010.2,75.649
2022-09-13 11:15:00,614.3,0.91,102.3,87.8,20.7,1010.1,90.387
2022-09-13 11:30:00,654.9,0.97,103.8,85.4,21.0,1009.9,112.464
2022-09-13 11:45:00,695.6,1.02,105.3,82.9,21.4,1009.7,105.546
2022-09-13 12:00:00,736.3,1.08,106.8,80.5,21.7,1009.6,116.424
2022-09-13 12:15:00,733.9,1.18,110.9,79.4,21.9,1009.4,117.059
2022-09-13 12:30:00,731.5,1.28,115.1,78.2,22.2,1009.2,108.603
2022-09-13 12:45:00,729.2,1.38,119.2,77.1,22.4,1009.0,145.8
2022-09-13 13:00:00,726.8,1.48,123.3,75.9,22.7,1008.8,138.402
2022-09-13 13:15:00,742.9,1.56,125.5,75.5,22.8,1008.6,147.492
2022-09-13 13:30:00,759.1,1.64,127.7,75.0,22.9,1008.5,140.382
2022-09-13 13:45:00,775.2,1.72,129.8,74.5,23.1,1008.3,156.212
2022-09-13 14:00:00,791.4,1.8,132.0,74.0,23.2,1008.2,156.449
2022-09-13 14:15:00,758.6,1.91,133.5,73.3,23.3,1008.1,136.7
2022-09-13 14:30:00,725.8,2.02,134.9,72.6,23.5,1008.0,125.342
2022-09-13 14:45:00,693.0,2.13,136.4,71.8,23.6,1007.9,129.654
2022-09-13 15:00:00,660.2,2.24,137.9,71.1,23.8,1007.8,126.522
2022-09-13 15:15:00,634.2,2.24,139.6,71.2,23.7,1007.8,115.14
2022-09-13 15:30:00,608.2,2.25,141.4,71.4,23.7,1007.7,99.756
2022-09-13 15:45:00,582.2,2.26,143.1,71.6,23.6,1007.7,96.8
2022-09-13 16:00:00,556.2,2.27,144.8,71.7,23.6,1007.6,92.708
2022-09-13 16:15:00,516.0,2.22,146.0,72.1,23.5,1007.6,92.6
2022-09-13 16:30:00,475.8,2.18,147.1,72.5,23.4,1007.7,67.522
2022-09-13 16:45:00,435.7,2.14,148.2,72.9,23.4,1007.7,50.898
2022-09-13 17:00:00,395.5,2.09,149.4,73.3,23.3,1007.7,57.3
2022-09-13 17:15:00,336.5,2.03,147.4,74.1,23.1,1007.7,42.9
2022-09-13 17:30:00,277.5,1.98,145.4,74.9,23.0,1007.7,52.8
2022-09-13 17:45:00,218.5,1.92,143.4,75.7,22.8,1007.8,50.372
2022-09-13 18:00:00,159.5,1.86,141.4,76.5,22.7,1007.8,37.774
2022-09-13 18:15:00,120.2,1.7,139.0,79.7,22.2,1008.0,23.76
2022-09-13 18:30:00,80.8,1.53,136.5,82.9,21.8,1008.1,7.1
2022-09-13 18:45:00,41.5,1.37,134.1,86.0,21.3,1008.3,2.626
2022-09-13 19:00:00,41.5,1.37,134.1,86.0,21.3,1008.3,2.626
2022-09-14 07:00:00,21.4,0.96,109.2,99.0,18.2,1012.5,0.606
2022-09-14 07:15:00,49.6,1.09,112.1,98.0,18.5,1012.5,1.98
2022-09-14 07:30:00,77.8,1.22,115.0,97.1,18.7,1012.5,2.04
2022-09-14 07:45:00,106.0,1.35,118.0,96.1,19.0,1012.6,5.0
2022-09-14 08:00:00,134.2,1.48,120.9,95.1,19.2,1012.6,5.959
2022-09-14 08:15:00,155.3,1.43,120.3,95.1,19.3,1012.5,7.326
2022-09-14 08:30:00,176.4,1.37,119.7,95.0,19.4,1012.4,9.494
2022-09-14 08:45:00,197.5,1.32,119.2,95.0,19.4,1012.2,12.827
2022-09-14 09:00:00,218.7,1.27,118.6,94.9,19.5,1012.1,21.008
2022-09-14 09:15:00,253.5,1.25,115.3,94.6,19.6,1011.9,24.276
2022-09-14 09:30:00,288.4,1.24,112.0,94.3,19.7,1011.8,30.3
2022-09-14 09:45:00,323.2,1.22,108.8,94.0,19.8,1011.6,52.7
2022-09-14 10:00:00,358.0,1.21,105.5,93.7,20.0,1011.4,44.296
2022-09-14 10:15:00,418.5,1.23,107.0,91.8,20.2,1011.2,49.266
2022-09-14 10:30:00,479.0,1.25,108.5,89.8,20.4,1011.0,66.862
2022-09-14 10:45:00,539.5,1.27,110.0,87.8,20.6,1010.8,83.538
2022-09-14 11:00:00,600.0,1.29,111.4,85.9,20.8,1010.6,76.558
2022-09-14 11:15:00,643.1,1.36,114.5,84.1,21.1,1010.4,82.665
2022-09-14 11:30:00,686.3,1.43,117.6,82.2,21.4,1010.2,88.332
2022-09-14 11:45:00,729.4,1.49,120.6,80.4,21.7,1009.9,124.432
2022-09-14 12:00:00,772.6,1.56,123.7,78.6,22.0,1009.7,108.63
2022-09-14 12:15:00,772.1,1.71,124.9,77.6,22.3,1009.4,121.226
2022-09-14 12:30:00,771.5,1.87,126.2,76.6,22.6,1009.1,141.0
2022-09-14 12:45:00,771.0,2.02,127.4,75.7,22.8,1008.8,144.844
2022-09-14 13:00:00,770.5,2.17,128.6,74.7,23.1,1008.5,143.016
2022-09-14 13:15:00,767.9,2.24,130.5,73.6,23.3,1008.3,147.8
2022-09-14 13:30:00,765.3,2.3,132.3,72.5,23.5,1008.0,149.058
